date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:15:33	38648/38648	---MC-	200	added ('OK')	text/html	etag:%22638321cf-96f8%22	http://htmldemo.net/reyes/reyes/index-portfolio.html	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/index-portfolio.html	(from )
00:15:34	405/405	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2022:15:33%20GMT	http://htmldemo.net/robots.txt		(from )
00:15:34	1150/1150	---MC-	200	added ('OK')	image/x-icon	etag:W/%2263832212-47e%22	http://htmldemo.net/reyes/reyes/img/favicon.ico	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/img/favicon.ico	(from )
00:15:34	4029/4029	---M--	200	added ('OK')	image/png	date:Wed,%2014%20May%202025%2012:47:22%20GMT	http://htmldemo.net/reyes/reyes/img/icon.png	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/img/icon.png	(from )
00:15:35	194861/194861	---MC-	200	added ('OK')	text/css	etag:%22638321e0-2f92d%22	http://htmldemo.net/reyes/reyes/css/bootstrap.min.css	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/css/bootstrap.min.css	(from )
00:15:35	648/648	---MC-	200	added ('OK')	text/css	etag:%22638321e9-288%22	http://htmldemo.net/reyes/reyes/css/plugins.css	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/css/plugins.css	(from )
00:15:38	793670/793670	---MC-	200	added ('OK')	text/css	etag:%22638321ed-c1c46%22	http://htmldemo.net/reyes/reyes/CSS/style.css	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/CSS/style.css	(from )
00:15:38	232/232	---MC-	200	added ('OK')	text/css	etag:%22638321e1-e8%22	http://htmldemo.net/reyes/reyes/css/custom.css	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/css/custom.css	(from )
00:15:38	1874/1874	---M--	200	added ('OK')	image/png	date:Wed,%2014%20May%202025%2012:47:23%20GMT	http://htmldemo.net/reyes/reyes/img/logo/logo-b.png	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/img/logo/logo-b.png	(from )
00:15:38	37997/37997	---MC-	200	added ('OK')	text/html	etag:%22638321c4-946d%22	http://htmldemo.net/reyes/reyes/index-cleaning-service.html	C:/My%20Web%20Sites/myPortfolio/htmldemo.net/reyes/reyes/index-cleaning-service.html	(from )
